Sample,Content,Cq,Starting Quantity (SQ),Cq Mean
ST1,Std-2,12.15007173,1,12.03565074
ST1,Std-2,11.92122975,1,12.03565074
St2,Std,15.17116828,0.1,15.17116828
St2,Std,15.20606841,0.1,15.20606841
ST3,Std,19.49788266,0.01,19.49788266
ST3,Std,19.49087862,0.01,19.49087862
ST4,Std,23.04283979,0.001,23.04283979
ST4,Std,22.92612955,0.001,22.92612955
ST5,Std,26.37899963,0.0001,26.37899963
ST5,Std,26.60526897,0.0001,26.60526897
ST6,Std,30.45236915,1.00E-05,30.45236915
ST6,Std,29.85404544,1.00E-05,29.85404544
ST7,Std,32.87592271,1.00E-06,32.87592271
ST7,Std,33.50137845,1.00E-06,33.50137845
ST8,Std,35.85395182,1.00E-07,35.85395182
ST8,Std,34.52250144,1.00E-07,34.52250144
1,Unkn,NaN,NaN,0
1,Unkn,36.18818813,1.09E-07,36.18818813
2,Unkn,NaN,NaN,0
2,Unkn,NaN,NaN,0
3,Unkn,35.9816347,1.26E-07,35.9816347
3,Unkn,35.09820768,2.28E-07,35.09820768
4,Unkn,34.49861556,3.41E-07,34.49861556
4,Unkn,NaN,NaN,0
5,Unkn,36.06197442,1.19E-07,36.06197442
5,Unkn,35.06286787,2.33E-07,35.06286787
6,Unkn,37.82621603,3.64E-08,37.82621603
6,Unkn,36.11597416,1.15E-07,36.11597416
7,Unkn,36.88291459,6.86E-08,36.88291459
7,Unkn,34.17812515,4.23E-07,34.17812515
8,Unkn,33.11565874,8.64E-07,33.11565874
8,Unkn,34.01257338,4.73E-07,34.01257338
9,Unkn,35.00656428,2.42E-07,35.00656428
9,Unkn,35.77684147,1.44E-07,35.77684147
10,Unkn,14.48365924,0.239572591,14.48365924
10,Unkn,14.71518347,0.205023715,14.71518347
11,Unkn,13.77189527,0.386685739,13.77189527
11,Unkn,13.76009997,0.389765868,13.76009997
12,Unkn,15.18388324,0.149584698,15.18388324
12,Unkn,14.83563974,0.189067257,14.83563974
13,Unkn,33.19180876,8.21E-07,33.19180876
13,Unkn,33.55678836,6.42E-07,33.55678836
14,Unkn,31.10274589,3.35E-06,31.10274589
14,Unkn,30.84901367,3.97E-06,30.84901367
15,Unkn,39.9566663,8.67E-09,39.9566663
15,Unkn,33.95329467,4.92E-07,33.95329467
16,Unkn,34.16489287,4.27E-07,34.16489287
16,Unkn,34.81948865,2.75E-07,34.81948865
17,Unkn,36.04268322,1.21E-07,36.04268322
17,Unkn,34.24113453,4.05E-07,34.24113453
18,Unkn,28.73369344,1.65E-05,28.73369344
18,Unkn,28.61320888,1.79E-05,28.61320888
19,Unkn,33.23236373,7.99E-07,33.23236373
19,Unkn,32.83989191,1.04E-06,32.83989191
20,Unkn,32.51804653,1.29E-06,32.51804653
20,Unkn,33.52311963,6.57E-07,33.52311963
21,Unkn,32.61535311,1.21E-06,32.61535311
21,Unkn,32.82731583,1.05E-06,32.82731583
22,Unkn,33.70677635,5.81E-07,33.70677635
22,Unkn,33.76743398,5.58E-07,33.76743398
23,Unkn,32.09571913,1.72E-06,32.09571913
23,Unkn,32.21853045,1.58E-06,32.21853045
24,Unkn,27.08377431,5.00E-05,27.08377431
24,Unkn,28.32488973,2.17E-05,28.32488973
NC,Neg Ctrl,32.69792658,1.14E-06,32.69792658
NC,Neg Ctrl,33.20031454,8.16E-07,33.20031454
water,NTC,34.07845059,NaN,34.07845059
water,NTC,NaN,NaN,0
