pot,species,aphid,CO2,Sample,Content,Cq,Starting Quantity (SQ),Cq Mean,
1,foxtail barley,Ctrl,Ambient,9,Unkn,32.96832962,8.14E-07,32.96832962,
1,foxtail barley,Ctrl,Ambient,9,Unkn,32.58634437,1.06E-06,32.58634437,
2,foxtail barley,Ctrl,Ambient,10,Unkn,35.04751633,1.94E-07,35.04751633,
2,foxtail barley,Ctrl,Ambient,10,Unkn,37.4435378,3.70E-08,37.4435378,
3,foxtail barley,Ctrl,Ambient,11,Unkn,34.85066456,2.22E-07,34.85066456,
3,foxtail barley,Ctrl,Ambient,11,Unkn,35.50412392,1.41E-07,35.50412392,
21,green foxtail,Ctrl,Ambient,12,Unkn,34.47021056,2.89E-07,34.47021056,
21,green foxtail,Ctrl,Ambient,12,Unkn,33.9829345,4.04E-07,33.9829345,
22,green foxtail,Ctrl,Ambient,13,Unkn,34.2759308,3.30E-07,34.2759308,
22,green foxtail,Ctrl,Ambient,13,Unkn,33.45220235,5.83E-07,33.45220235,
41,winter wheat,Ctrl,Ambient,14,Unkn,33.78488185,4.63E-07,33.78488185,
41,winter wheat,Ctrl,Ambient,14,Unkn,32.93904044,8.31E-07,32.93904044,
42,winter wheat,Ctrl,Ambient,15,Unkn,32.95869946,8.20E-07,32.95869946,
42,winter wheat,Ctrl,Ambient,15,Unkn,34.2708308,3.31E-07,34.2708308,
43,winter wheat,Ctrl,Ambient,16,Unkn,34.15506687,3.59E-07,34.15506687,
43,winter wheat,Ctrl,Ambient,16,Unkn,33.33304165,6.33E-07,33.33304165,
2,foxtail barley,Ctrl,Elevated,1,Unkn,29.23681941,1.07E-05,29.23681941,
2,foxtail barley,Ctrl,Elevated,1,Unkn,29.39043668,9.65E-06,29.39043668,
3,foxtail barley,Ctrl,Elevated,2,Unkn,34.84059235,2.23E-07,34.84059235,
3,foxtail barley,Ctrl,Elevated,2,Unkn,35.10582405,1.86E-07,35.10582405,
21,green foxtail,Ctrl,Elevated,3,Unkn,33.86774801,4.37E-07,33.86774801,
21,green foxtail,Ctrl,Elevated,3,Unkn,33.03452829,7.78E-07,33.03452829,
22,green foxtail,Ctrl,Elevated,4,Unkn,32.88663716,8.62E-07,32.88663716,
22,green foxtail,Ctrl,Elevated,4,Unkn,32.76899782,9.35E-07,32.76899782,
23,green foxtail,Ctrl,Elevated,5,Unkn,33.18545496,7.01E-07,33.18545496,
23,green foxtail,Ctrl,Elevated,5,Unkn,34.31731865,3.21E-07,34.31731865,
41,winter wheat,Ctrl,Elevated,6,Unkn,31.60647371,2.09E-06,31.60647371,
41,winter wheat,Ctrl,Elevated,6,Unkn,31.36259769,2.47E-06,31.36259769,
42,winter wheat,Ctrl,Elevated,7,Unkn,35.06892186,1.91E-07,35.06892186,
42,winter wheat,Ctrl,Elevated,7,Unkn,33.37134281,6.16E-07,33.37134281,
43,winter wheat,Ctrl,Elevated,8,Unkn,33.18867152,6.99E-07,33.18867152,
43,winter wheat,Ctrl,Elevated,8,Unkn,33.11541408,7.36E-07,33.11541408,
51,winter wheat,infested,Ambient,1,Unkn,31.12664992,2.40E-06,31.12664992,
52,winter wheat,infested,Ambient,1,Unkn,31.76635492,1.54E-06,31.76635492,
52,winter wheat,infested,Ambient,2,Unkn,34.22912251,2.78E-07,34.22912251,
52,winter wheat,infested,Ambient,2,Unkn,34.56520685,2.20E-07,34.56520685,
53,winter wheat,infested,Ambient,3,Unkn,12.82372695,0.792643549,12.82372695,
53,winter wheat,infested,Ambient,3,Unkn,12.67512895,0.878800928,12.67512895,
54,winter wheat,infested,Ambient,4,Unkn,18.72035696,0.013207968,18.72035696,
54,winter wheat,infested,Ambient,4,Unkn,18.69830111,0.01341181,18.69830111,
55,winter wheat,infested,Ambient,5,Unkn,14.22998487,0.298534049,14.22998487,
55,winter wheat,infested,Ambient,5,Unkn,14.18364652,0.308296141,14.18364652,
16,foxtail barley,infested,Ambient,21,Unkn,26.50703668,5.92E-05,26.50703668,
16,foxtail barley,infested,Ambient,21,Unkn,26.35714768,6.57E-05,26.35714768,
17,foxtail barley,infested,Ambient,22,Unkn,33.04978897,6.30E-07,33.04978897,
17,foxtail barley,infested,Ambient,22,Unkn,34.80394021,1.86E-07,34.80394021,
18,foxtail barley,infested,Ambient,23,Unkn,34.45582233,2.37E-07,34.45582233,
18,foxtail barley,infested,Ambient,23,Unkn,34.73938699,1.95E-07,34.73938699,
19,foxtail barley,infested,Ambient,24,Unkn,32.95658177,6.72E-07,32.95658177,
19,foxtail barley,infested,Ambient,24,Unkn,32.32446962,1.04E-06,32.32446962,
20,foxtail barley,infested,Ambient,25,Unkn,34.63696182,2.09E-07,34.63696182,
20,foxtail barley,infested,Ambient,25,Unkn,35.22949798,1.39E-07,35.22949798,
36,green foxtail,infested,Ambient,26,Unkn,33.24477236,5.50E-07,33.24477236,
36,green foxtail,infested,Ambient,26,Unkn,32.6781578,8.16E-07,32.6781578,
37,green foxtail,infested,Ambient,27,Unkn,33.41156711,4.90E-07,33.41156711,
37,green foxtail,infested,Ambient,27,Unkn,33.61506639,4.26E-07,33.61506639,
38,green foxtail,infested,Ambient,28,Unkn,34.8761143,1.77E-07,34.8761143,
38,green foxtail,infested,Ambient,28,Unkn,33.36638584,5.06E-07,33.36638584,
39,green foxtail,infested,Ambient,29,Unkn,32.60134785,8.61E-07,32.60134785,
39,green foxtail,infested,Ambient,29,Unkn,32.17977793,1.15E-06,32.17977793,
40,green foxtail,infested,Ambient,30,Unkn,32.87780408,7.10E-07,32.87780408,
40,green foxtail,infested,Ambient,30,Unkn,32.43792231,9.64E-07,32.43792231,
56,winter wheat,infested,Ambient,17,Unkn,15.51545884,0.140498762,15.51545884,
56,winter wheat,infested,Ambient,17,Unkn,15.59792954,0.132716988,15.59792954,
57,winter wheat,infested,Ambient,18,Unkn,12.59757519,1.054887758,12.59757519,
57,winter wheat,infested,Ambient,18,Unkn,12.77464726,0.933414186,12.77464726,
