pot,species,aphid,CO2,Mean_Cq,dCT,EFC
51,winter wheat,infested,Ambient,31.44650242,8.55349758,0.002661587
52,winter wheat,infested,Ambient,34.39716468,5.60283532,0.020576832
53,winter wheat,infested,Ambient,12.74942795,27.25057205,6.26268E-09
54,winter wheat,infested,Ambient,18.70932904,21.29067097,3.89825E-07
55,winter wheat,infested,Ambient,14.2068157,25.79318431,1.7198E-08
16,foxtail barley,infested,Ambient,26.43209218,13.56790782,8.23479E-05
17,foxtail barley,infested,Ambient,33.92686459,6.07313541,0.014852654
18,foxtail barley,infested,Ambient,34.59760466,5.40239534,0.023643782
19,foxtail barley,infested,Ambient,32.6405257,7.359474305,0.006089442
20,foxtail barley,infested,Ambient,34.9332299,5.0667701,0.029836661
36,green foxtail,infested,Ambient,32.96146508,7.03853492,0.007606587
37,green foxtail,infested,Ambient,33.51331675,6.48668325,0.011150999
38,green foxtail,infested,Ambient,34.12125007,5.87874993,0.016994952
39,green foxtail,infested,Ambient,32.39056289,7.60943711,0.005120722
40,green foxtail,infested,Ambient,32.6578632,7.342136805,0.006163063
56,winter wheat,infested,Ambient,15.55669419,24.44330581,4.38361E-08
57,winter wheat,infested,Ambient,12.68611123,27.31388878,5.99377E-09
58,winter wheat,infested,Ambient,31.48718617,8.51281383,0.002737712
59,winter wheat,infested,Ambient,30.37995058,9.62004942,0.001270798
60,winter wheat,infested,Ambient,33.65670702,6.34329298,0.012316251
11,foxtail barley,infested,Ambient,36.95498049,3.045019515,0.121159588
12,foxtail barley,infested,Ambient,34.49219076,5.50780924,0.0219778
13,foxtail barley,infested,Ambient,35.14190888,4.858091125,0.034480126
14,foxtail barley,infested,Ambient,28.67345116,11.32654884,0.000389376
15,foxtail barley,infested,Ambient,33.03612782,6.96387218,0.00801061
31,green foxtail,infested,Ambient,33.02058308,6.97941692,0.007924761
32,green foxtail,infested,Ambient,32.72133447,7.27866553,0.006440259
33,green foxtail,infested,Ambient,33.73710517,6.262894835,0.013022093
34,green foxtail,infested,Ambient,32.15712479,7.84287521,0.004355714
35,green foxtail,infested,Ambient,27.70433202,12.29566798,0.0001989
16,foxtail barley,infested,Elevated,37.21481299,2.78518701,0.145069183
17,foxtail barley,infested,Elevated,34.39716468,5.60283532,0.020576832
18,foxtail barley,infested,Elevated,36.42663861,3.57336139,0.084006141
19,foxtail barley,infested,Elevated,34.79705878,5.202941225,0.027149299
20,foxtail barley,infested,Elevated,40,0,1
36,green foxtail,infested,Elevated,35.60804445,4.391955555,0.047630993
37,green foxtail,infested,Elevated,36.53483882,3.46516118,0.090548768
38,green foxtail,infested,Elevated,38.02781877,1.972181235,0.254867402
39,green foxtail,infested,Elevated,36.48471818,3.515281825,0.087457031
40,green foxtail,infested,Elevated,33.57612509,6.423874915,0.011647185
56,winter wheat,infested,Elevated,29.3658361,10.6341639,0.000629213
57,winter wheat,infested,Elevated,29.31574427,10.68425574,0.000607741
58,winter wheat,infested,Elevated,28.11937656,11.88062345,0.000265201
59,winter wheat,infested,Elevated,18.77387101,21.226129,4.0766E-07
60,winter wheat,infested,Elevated,30.36040313,9.63959687,0.001253696
11,foxtail barley,infested,Elevated,38.09409407,1.905905935,0.266848733
12,foxtail barley,infested,Elevated,40,0,1
13,foxtail barley,infested,Elevated,35.53992119,4.46007881,0.045434159
14,foxtail barley,infested,Elevated,37.24930778,2.75069222,0.148579582
15,foxtail barley,infested,Elevated,35.56242115,4.437578855,0.046148295
32,green foxtail,infested,Elevated,36.9710951,3.028904905,0.122520503
33,green foxtail,infested,Elevated,35.53051987,4.46948013,0.04513905
34,green foxtail,infested,Elevated,33.56411606,6.43588394,0.011550636
35,green foxtail,infested,Elevated,35.39170288,4.608297125,0.040998157
51,winter wheat,infested,Elevated,14.59942136,25.40057865,2.25769E-08
52,winter wheat,infested,Elevated,13.76599762,26.23400238,1.26701E-08
53,winter wheat,infested,Elevated,15.00976149,24.99023851,3.00047E-08
54,winter wheat,infested,Elevated,33.37429856,6.62570144,0.010126634
55,winter wheat,infested,Elevated,30.97587978,9.02412022,0.001920742
