block,pot,plant_sp,CO2,aphid_count,total_carbs
2,11,foxtail barley,Elevated,30,53.691
2,12,foxtail barley,Elevated,32,61.925
2,13,foxtail barley,Elevated,25,57.96
2,14,foxtail barley,Elevated,21,65.828
2,15,foxtail barley,Elevated,5,54.158
2,16,foxtail barley,Elevated,9,61.48
2,17,foxtail barley,Elevated,8,16.959
2,18,foxtail barley,Elevated,8,81.266
2,19,foxtail barley,Elevated,23,67.648
2,20,foxtail barley,Elevated,36,44.635
2,31,green foxtail,Elevated,3,111.996
2,32,green foxtail,Elevated,3,102.879
2,33,green foxtail,Elevated,3,77.341
2,34,green foxtail,Elevated,3,77.726
2,35,green foxtail,Elevated,3,80.427
2,36,green foxtail,Elevated,3,124.655
2,37,green foxtail,Elevated,2,39.494
2,38,green foxtail,Elevated,13,70.748
2,39,green foxtail,Elevated,3,55.803
2,40,green foxtail,Elevated,7,88.648
2,51,winter wheat,Elevated,20,93.889
2,52,winter wheat,Elevated,25,79.21
2,53,winter wheat,Elevated,25,129.252
2,54,winter wheat,Elevated,36,78.221
2,55,winter wheat,Elevated,4,118.45
2,56,winter wheat,Elevated,55,67.68
2,57,winter wheat,Elevated,8,76.967
2,58,winter wheat,Elevated,9,87.602
2,59,winter wheat,Elevated,29,86.557
2,60,winter wheat,Elevated,17,191.4
2,11,foxtail barley,Ambient,29,45.341
2,12,foxtail barley,Ambient,27,64.078
2,13,foxtail barley,Ambient,31,50.476
2,14,foxtail barley,Ambient,9,71.565
2,15,foxtail barley,Ambient,22,63.689
2,16,foxtail barley,Ambient,10,62.443
2,17,foxtail barley,Ambient,22,59.781
2,18,foxtail barley,Ambient,18,62.288
2,19,foxtail barley,Ambient,18,69.645
2,20,foxtail barley,Ambient,15,79.396
2,31,green foxtail,Ambient,3,129.804
2,32,green foxtail,Ambient,3,94.103
2,33,green foxtail,Ambient,3,100.676
2,34,green foxtail,Ambient,4,90.195
2,35,green foxtail,Ambient,4,146.125
2,36,green foxtail,Ambient,3,87.144
2,37,green foxtail,Ambient,3,102.171
2,38,green foxtail,Ambient,3,119.674
2,39,green foxtail,Ambient,3,87.109
2,40,green foxtail,Ambient,20,56.061
2,51,winter wheat,Ambient,23,102.394
2,52,winter wheat,Ambient,15,83.529
2,53,winter wheat,Ambient,30,70.255
2,54,winter wheat,Ambient,25,69.319
2,55,winter wheat,Ambient,27,95.508
2,56,winter wheat,Ambient,11,106.977
2,57,winter wheat,Ambient,16,108.824
2,58,winter wheat,Ambient,5,97.528
2,59,winter wheat,Ambient,13,104.185
2,60,winter wheat,Ambient,28,82.74
