block,pot,plant_sp,CO2,aphid_count,total_carbs
1,11,foxtail barley,Ambient,4,NA
1,12,foxtail barley,Ambient,37,NA
1,13,foxtail barley,Ambient,5,NA
1,14,foxtail barley,Ambient,17,NA
1,15,foxtail barley,Ambient,16,NA
1,16,foxtail barley,Ambient,14,NA
1,17,foxtail barley,Ambient,3,NA
1,18,foxtail barley,Ambient,9,NA
1,19,foxtail barley,Ambient,22,NA
1,20,foxtail barley,Ambient,8,NA
2,11,foxtail barley,Ambient,29,45.341
2,12,foxtail barley,Ambient,27,64.078
2,13,foxtail barley,Ambient,31,50.476
2,14,foxtail barley,Ambient,9,71.565
2,15,foxtail barley,Ambient,22,63.689
2,16,foxtail barley,Ambient,10,62.443
2,17,foxtail barley,Ambient,22,59.781
2,18,foxtail barley,Ambient,18,62.288
2,19,foxtail barley,Ambient,18,69.645
2,20,foxtail barley,Ambient,15,79.396
1,31,green foxtail,Ambient,10,NA
1,32,green foxtail,Ambient,3,NA
1,33,green foxtail,Ambient,3,NA
1,34,green foxtail,Ambient,3,NA
1,35,green foxtail,Ambient,4,NA
1,36,green foxtail,Ambient,11,NA
1,37,green foxtail,Ambient,10,NA
1,38,green foxtail,Ambient,2,NA
1,39,green foxtail,Ambient,16,NA
1,40,green foxtail,Ambient,4,NA
2,31,green foxtail,Ambient,3,129.804
2,32,green foxtail,Ambient,3,94.103
2,33,green foxtail,Ambient,3,100.676
2,34,green foxtail,Ambient,4,90.195
2,35,green foxtail,Ambient,4,146.125
2,36,green foxtail,Ambient,3,87.144
2,37,green foxtail,Ambient,3,102.171
2,38,green foxtail,Ambient,3,119.674
2,39,green foxtail,Ambient,3,87.109
2,40,green foxtail,Ambient,20,56.061
1,51,winter wheat,Ambient,25,NA
1,52,winter wheat,Ambient,49,NA
1,53,winter wheat,Ambient,3,NA
1,54,winter wheat,Ambient,9,NA
1,55,winter wheat,Ambient,8,NA
1,56,winter wheat,Ambient,17,NA
1,57,winter wheat,Ambient,35,NA
1,58,winter wheat,Ambient,25,NA
1,59,winter wheat,Ambient,15,NA
1,60,winter wheat,Ambient,6,NA
2,51,winter wheat,Ambient,23,102.394
2,52,winter wheat,Ambient,15,83.529
2,53,winter wheat,Ambient,30,70.255
2,54,winter wheat,Ambient,25,69.319
2,55,winter wheat,Ambient,27,95.508
2,56,winter wheat,Ambient,11,106.977
2,57,winter wheat,Ambient,16,108.824
2,58,winter wheat,Ambient,5,97.528
2,59,winter wheat,Ambient,13,104.185
2,60,winter wheat,Ambient,28,82.74
