block,pot,species,aphid_treat,CO2,live_adult,dead_adult,live_nymph,dead_nymph,total_aphids,shoot_dry_wt,root_dry_wt,sucrose,glucose,fructose,total_sugar
1,1,foxtail barley,ctrl,Ambient,NA,NA,NA,NA,NA,2.71,0.58,NA,NA,NA,NA
1,2,foxtail barley,ctrl,Ambient,NA,NA,NA,NA,NA,2.68,0.81,NA,NA,NA,NA
1,3,foxtail barley,ctrl,Ambient,NA,NA,NA,NA,NA,2.66,0.56,NA,NA,NA,NA
1,4,foxtail barley,ctrl,Ambient,NA,NA,NA,NA,NA,1.45,0.54,NA,NA,NA,NA
1,5,foxtail barley,ctrl,Ambient,NA,NA,NA,NA,NA,1.28,0.58,NA,NA,NA,NA
1,6,foxtail barley,ctrl,Ambient,NA,NA,NA,NA,NA,2.36,0.85,NA,NA,NA,NA
1,7,foxtail barley,ctrl,Ambient,NA,NA,NA,NA,NA,1.36,0.44,NA,NA,NA,NA
1,8,foxtail barley,ctrl,Ambient,NA,NA,NA,NA,NA,2.91,0.66,NA,NA,NA,NA
1,9,foxtail barley,ctrl,Ambient,NA,NA,NA,NA,NA,2.18,0.51,NA,NA,NA,NA
1,10,foxtail barley,ctrl,Ambient,NA,NA,NA,NA,NA,2.71,0.84,NA,NA,NA,NA
1,1,foxtail barley,ctrl,Elevated,NA,NA,NA,NA,NA,2,0.78,NA,NA,NA,NA
1,2,foxtail barley,ctrl,Elevated,NA,NA,NA,NA,NA,2.47,0.49,NA,NA,NA,NA
1,3,foxtail barley,ctrl,Elevated,NA,NA,NA,NA,NA,1.68,0.25,NA,NA,NA,NA
1,4,foxtail barley,ctrl,Elevated,NA,NA,NA,NA,NA,3.68,1.03,NA,NA,NA,NA
1,5,foxtail barley,ctrl,Elevated,NA,NA,NA,NA,NA,2.77,0.85,NA,NA,NA,NA
1,6,foxtail barley,ctrl,Elevated,NA,NA,NA,NA,NA,2.93,1.16,NA,NA,NA,NA
1,7,foxtail barley,ctrl,Elevated,NA,NA,NA,NA,NA,1.85,0.49,NA,NA,NA,NA
1,8,foxtail barley,ctrl,Elevated,NA,NA,NA,NA,NA,3.22,0.97,NA,NA,NA,NA
1,9,foxtail barley,ctrl,Elevated,NA,NA,NA,NA,NA,3.19,0.94,NA,NA,NA,NA
1,10,foxtail barley,ctrl,Elevated,NA,NA,NA,NA,NA,1.53,0.41,NA,NA,NA,NA
1,21,green foxtail,ctrl,Ambient,NA,NA,NA,NA,NA,3.81,0.26,NA,NA,NA,NA
